"","hhmm","LocationNumber","MeterIdentifier","Uom","mean","median","min","max","total","std","scaled_mean","n","scaled_value_max","scaled_value_sd"
"64","16:00",11280,200065,"KWH",0.474693548387097,0.334,0.1585,2.2225,14.7155,0.463181330176051,0.162901011800651,31,0.0028078934245936,1.02485466805553
"65","16:15",11280,200065,"KWH",0.418774193548387,0.3125,0.155,2.265,12.982,0.413770142283323,0.143711116523125,31,0.00247712088872781,1.01209379496899
"66","16:30",11280,200065,"KWH",0.388629032258064,0.3065,0.207,1.1225,12.0475,0.210270618003798,0.133366174419377,31,0.00229880711037962,1.84823270101886
"67","16:45",11280,200065,"KWH",0.48958064516129,0.3555,0.212,1.551,15.177,0.310626573685462,0.168009830185755,31,0.00289595314498706,1.57610676817701
"68","17:00",11280,200065,"KWH",0.701790322580645,0.413,0.1925,2.272,21.7555,0.592070657019266,0.240834015985122,31,0.00415120963601277,1.1853151549745
"69","17:15",11280,200065,"KWH",0.796209677419355,0.4765,0.203,2.249,24.6825,0.606836108766795,0.273235990878296,31,0.00470971624834572,1.3120670736575
"70","17:30",11280,200065,"KWH",0.783532258064516,0.653,0.227,2.2485,24.2895,0.545160327113102,0.26888546947993,31,0.00463472714733894,1.43725106009403
"71","17:45",11280,200065,"KWH",0.903403225806452,0.8005,0.2045,2.337,28.0055,0.565507256354193,0.310021697256847,31,0.00534378439757099,1.59750952026798
"72","18:00",11280,200065,"KWH",0.803483870967742,0.6685,0.1945,1.681,24.908,0.447344358108139,0.27573228241858,31,0.00475274434574274,1.79611937963351
"73","18:15",11280,200065,"KWH",0.879596774193548,0.691,0.2155,2.208,27.2675,0.534022805682723,0.301852015852281,31,0.0052029651697262,1.64711462662915
"74","18:30",11280,200065,"KWH",1.17125806451613,1.231,0.246,2.4545,36.309,0.695894159468806,0.40194168308721,31,0.00692819152278678,1.68309799497409
"75","18:45",11280,200065,"KWH",0.904483870967742,0.856,0.196,1.687,28.039,0.510382952364708,0.310392543228463,31,0.00535017659829295,1.77216708900069
"76","19:00",11280,200065,"KWH",0.794451612903226,0.6775,0.2055,2.2245,24.628,0.451280204064664,0.272632674297607,31,0.00469931699642493,1.7604397572675
"77","19:15",11280,200065,"KWH",0.732677419354839,0.5725,0.2555,1.9935,22.713,0.447404562418756,0.25143356875595,31,0.00433391208948349,1.63761722811641
"78","19:30",11280,200065,"KWH",0.707951612903226,0.54,0.2785,1.679,21.9465,0.385458673851441,0.242948391524786,31,0.00418765472072599,1.83664724892421
"79","19:45",11280,200065,"KWH",0.514774193548387,0.4145,0.318,1.238,15.958,0.228907180559781,0.17665552283747,31,0.00304497728719137,2.24883375125906
"80","20:00",11280,200065,"KWH",0.600193548387097,0.4535,0.3325,1.4045,18.606,0.341383793733176,0.205968959638674,31,0.00355024736216836,1.75811962783507
"81","20:15",11280,200065,"KWH",0.70208064516129,0.459,0.358,2.6885,21.7645,0.577425912950083,0.240933646246153,31,0.00415292694366942,1.21588004524138
"82","20:30",11280,200065,"KWH",0.685032258064516,0.4645,0.286,2.1655,21.236,0.451751091780342,0.235083135917816,31,0.00405208282183206,1.51639314332328
"83","20:45",11280,200065,"KWH",0.575483870967742,0.421,0.2495,1.865,17.84,0.379782206970236,0.197489317422012,31,0.00340408539939178,1.5152997175901
"84","21:00",11280,200065,"KWH",0.623096774193548,0.4795,0.2255,1.7245,19.316,0.376389922362321,0.213828680231142,31,0.00368572385508137,1.65545551879506
"85","21:15",11280,200065,"KWH",0.506064516129032,0.4395,0.256,1.6975,15.688,0.277535965895578,0.173666615006531,31,0.00299345805749206,1.82341958634449
"86","21:30",11280,200065,"KWH",0.612951612903226,0.4795,0.259,1.653,19.0015,0.372986669887784,0.210347156109549,31,0.00362571349307976,1.6433606409785
"87","21:45",11280,200065,"KWH",0.803693548387097,0.4865,0.254,1.6285,24.9145,0.509343690079357,0.275804237607103,31,0.00475398462349476,1.57790027449222
"88","22:00",11280,200065,"KWH",0.710048387096774,0.471,0.225,1.501,22.0115,0.443281745523069,0.243667943410012,31,0.0042000574982462,1.60179929416882
"89","22:15",11280,200065,"KWH",0.608612903225806,0.447,0.126,1.91,18.867,0.462617619452564,0.208858237208581,31,0.00360004928421103,1.31558522121575
"90","22:30",11280,200065,"KWH",0.564290322580645,0.4135,0.13,1.7915,17.493,0.457562723827629,0.193648017357805,31,0.00333787364863007,1.23325238966193
"91","22:45",11280,200065,"KWH",0.462774193548387,0.3725,0.114,1.6245,14.346,0.328342931468246,0.158810636083867,31,0.00273738840469027,1.40942334734909
"92","23:00",11280,200065,"KWH",0.350822580645161,0.3515,0.1215,1.072,10.8755,0.195738241383193,0.120392100427303,31,0.00207517549109223,1.79230475438044
"93","23:15",11280,200065,"KWH",0.297129032258065,0.2525,0.114,0.722,9.211,0.142895531055729,0.101966037151017,31,0.00175756898059404,2.0793444697874
"94","23:30",11280,200065,"KWH",0.369951612903226,0.274,0.1065,1.379,11.4685,0.299491523386965,0.126956627626364,31,0.00218832698446887,1.23526572211268
"95","23:45",11280,200065,"KWH",0.362983870967742,0.288,0.094,1.0395,11.2525,0.26445486331543,0.124565501361614,31,0.00214711160070942,1.372574005322
"96","00:00",11280,200065,"KWH",0.326758064516129,0.257,0.0935,1.0615,10.1295,0.225284519033441,0.11213385879071,31,0.00193282976755264,1.45042396130035
